Image_Name,Prompt
barack_obama.png,a man wearing a black top hat and a monocle
barack_obama.png,a man in a chef outfit
barack_obama.png,a man in a firefighter outfit
barack_obama.png,a man in a police outfit
barack_obama.png,a man wearing pink glasses
barack_obama.png,a man wearing a yellow shirt
barack_obama.png,a man in a purple wizard outfit
barack_obama.png,a painting of a man in the style of Banksy
barack_obama.png,a painting of a man in the style of Vincent Van Gogh
barack_obama.png,a colorful graffiti painting of a man
barack_obama.png,a watercolor painting of a man
barack_obama.png,a Greek marble sculpture of a man
barack_obama.png,a street art mural of a man
barack_obama.png,a black and white photograph of a man
barack_obama.png,a pointillism painting of a man
barack_obama.png,a Japanese woodblock print of a man
barack_obama.png,a street art stencil of a man
barack_obama.png,a man img riding a horse
barack_obama.png,a man img holding a glass of wine
barack_obama.png,a man img holding a piece of cake
barack_obama.png,a man img giving a lecture
barack_obama.png,a man img reading a book
barack_obama.png,a man img gardening in the backyard
barack_obama.png,a man img cooking a meal
barack_obama.png,a man img working out at the gym
barack_obama.png,a man img walking the dog
barack_obama.png,a man img baking cookies
barack_obama.png,a man img wearing a doctoral cap
barack_obama.png,a man img wearing a spacesuit
barack_obama.png,a man img wearing sunglasses and necklace
barack_obama.png,a man coding in front of a computer
barack_obama.png,a man in a helmet and vest riding a motorcycle
barack_obama.png,a man in the jungle
barack_obama.png,a man in the snow
barack_obama.png,a man on the beach
barack_obama.png,a man on a cobblestone street
barack_obama.png,a man on top of pink fabric
barack_obama.png,a man on top of a wooden floor
barack_obama.png,a man with a city in the background
barack_obama.png,a man with a mountain in the background
barack_obama.png,a man with a blue house in the background
barack_obama.png,a man on top of a purple rug in a forest
dwayne_johnson.png,a man wearing a red hat
dwayne_johnson.png,a man wearing a santa hat
dwayne_johnson.png,a man wearing a rainbow scarf
dwayne_johnson.png,a man wearing a black top hat and a monocle
dwayne_johnson.png,a man in a chef outfit
dwayne_johnson.png,a man in a firefighter outfit
dwayne_johnson.png,a man in a police outfit
dwayne_johnson.png,a man wearing pink glasses
dwayne_johnson.png,a man wearing a yellow shirt
dwayne_johnson.png,a man in a purple wizard outfit
dwayne_johnson.png,a painting of a man in the style of Banksy
dwayne_johnson.png,a painting of a man in the style of Vincent Van Gogh
dwayne_johnson.png,a colorful graffiti painting of a man
dwayne_johnson.png,a watercolor painting of a man
dwayne_johnson.png,a Greek marble sculpture of a man
dwayne_johnson.png,a street art mural of a man
dwayne_johnson.png,a black and white photograph of a man
dwayne_johnson.png,a pointillism painting of a man
dwayne_johnson.png,a Japanese woodblock print of a man
dwayne_johnson.png,a street art stencil of a man
dwayne_johnson.png,a man img riding a horse
dwayne_johnson.png,a man img holding a glass of wine
dwayne_johnson.png,a man img holding a piece of cake
dwayne_johnson.png,a man img giving a lecture
dwayne_johnson.png,a man img reading a book
dwayne_johnson.png,a man img gardening in the backyard
dwayne_johnson.png,a man img cooking a meal
dwayne_johnson.png,a man img working out at the gym
dwayne_johnson.png,a man img walking the dog
dwayne_johnson.png,a man img baking cookies
dwayne_johnson.png,a man img wearing a doctoral cap
dwayne_johnson.png,a man img wearing a spacesuit
dwayne_johnson.png,a man img wearing sunglasses and necklace
dwayne_johnson.png,a man coding in front of a computer
dwayne_johnson.png,a man in a helmet and vest riding a motorcycle
dwayne_johnson.png,a man in the jungle
dwayne_johnson.png,a man in the snow
dwayne_johnson.png,a man on the beach
dwayne_johnson.png,a man on a cobblestone street
dwayne_johnson.png,a man on top of pink fabric
dwayne_johnson.png,a man on top of a wooden floor
dwayne_johnson.png,a man with a city in the background
dwayne_johnson.png,a man with a mountain in the background
dwayne_johnson.png,a man with a blue house in the background
dwayne_johnson.png,a man on top of a purple rug in a forest
elon_mask.png,a man wearing a red hat
elon_mask.png,a man wearing a santa hat
elon_mask.png,a man wearing a rainbow scarf
elon_mask.png,a man wearing a black top hat and a monocle
elon_mask.png,a man in a chef outfit
elon_mask.png,a man in a firefighter outfit
elon_mask.png,a man in a police outfit
elon_mask.png,a man wearing pink glasses
elon_mask.png,a man wearing a yellow shirt
elon_mask.png,a man in a purple wizard outfit
elon_mask.png,a painting of a man in the style of Banksy
elon_mask.png,a painting of a man in the style of Vincent Van Gogh
elon_mask.png,a colorful graffiti painting of a man
elon_mask.png,a watercolor painting of a man
elon_mask.png,a Greek marble sculpture of a man
elon_mask.png,a street art mural of a man
elon_mask.png,a black and white photograph of a man
elon_mask.png,a pointillism painting of a man
elon_mask.png,a Japanese woodblock print of a man
elon_mask.png,a street art stencil of a man
elon_mask.png,a man img riding a horse
elon_mask.png,a man img holding a glass of wine
elon_mask.png,a man img holding a piece of cake
elon_mask.png,a man img giving a lecture
elon_mask.png,a man img reading a book
elon_mask.png,a man img gardening in the backyard
elon_mask.png,a man img cooking a meal
elon_mask.png,a man img working out at the gym
elon_mask.png,a man img walking the dog
elon_mask.png,a man img baking cookies
elon_mask.png,a man img wearing a doctoral cap
elon_mask.png,a man img wearing a spacesuit
elon_mask.png,a man img wearing sunglasses and necklace
elon_mask.png,a man coding in front of a computer
elon_mask.png,a man in a helmet and vest riding a motorcycle
elon_mask.png,a man in the jungle
elon_mask.png,a man in the snow
elon_mask.png,a man on the beach
elon_mask.png,a man on a cobblestone street
elon_mask.png,a man on top of pink fabric
elon_mask.png,a man on top of a wooden floor
elon_mask.png,a man with a city in the background
elon_mask.png,a man with a mountain in the background
elon_mask.png,a man with a blue house in the background
elon_mask.png,a man on top of a purple rug in a forest
feifei_li.png,a woman wearing a red hat
feifei_li.png,a woman wearing a santa hat
feifei_li.png,a woman wearing a rainbow scarf
feifei_li.png,a woman wearing a black top hat and a monocle
feifei_li.png,a woman in a chef outfit
feifei_li.png,a woman in a firefighter outfit
feifei_li.png,a woman in a police outfit
feifei_li.png,a woman wearing pink glasses
feifei_li.png,a woman wearing a yellow shirt
feifei_li.png,a woman in a purple wizard outfit
feifei_li.png,a painting of a woman in the style of Banksy
feifei_li.png,a painting of a woman in the style of Vincent Van Gogh
feifei_li.png,a colorful graffiti painting of a woman
feifei_li.png,a watercolor painting of a woman
feifei_li.png,a Greek marble sculpture of a woman
feifei_li.png,a street art mural of a woman
feifei_li.png,a black and white photograph of a woman
feifei_li.png,a pointillism painting of a woman
feifei_li.png,a Japanese woodblock print of a woman
feifei_li.png,a street art stencil of a woman
feifei_li.png,a woman img riding a horse
feifei_li.png,a woman img holding a glass of wine
feifei_li.png,a woman img holding a piece of cake
feifei_li.png,a woman img giving a lecture
feifei_li.png,a woman img reading a book
feifei_li.png,a woman img gardening in the backyard
feifei_li.png,a woman img cooking a meal
feifei_li.png,a woman img working out at the gym
feifei_li.png,a woman img walking the dog
feifei_li.png,a woman img baking cookies
feifei_li.png,a woman img wearing a doctoral cap
feifei_li.png,a woman img wearing a spacesuit
feifei_li.png,a woman img wearing sunglasses and necklace
feifei_li.png,a woman coding in front of a computer
feifei_li.png,a woman in a helmet and vest riding a motorcycle
feifei_li.png,a woman in the jungle
feifei_li.png,a woman in the snow
feifei_li.png,a woman on the beach
feifei_li.png,a woman on a cobblestone street
feifei_li.png,a woman on top of pink fabric
feifei_li.png,a woman on top of a wooden floor
feifei_li.png,a woman with a city in the background
feifei_li.png,a woman with a mountain in the background
feifei_li.png,a woman with a blue house in the background
feifei_li.png,a woman on top of a purple rug in a forest
geoffrey_hinton.png,a man wearing a red hat
geoffrey_hinton.png,a man wearing a santa hat
geoffrey_hinton.png,a man wearing a rainbow scarf
geoffrey_hinton.png,a man wearing a black top hat and a monocle
geoffrey_hinton.png,a man in a chef outfit
geoffrey_hinton.png,a man in a firefighter outfit
geoffrey_hinton.png,a man in a police outfit
geoffrey_hinton.png,a man wearing pink glasses
geoffrey_hinton.png,a man wearing a yellow shirt
geoffrey_hinton.png,a man in a purple wizard outfit
geoffrey_hinton.png,a painting of a man in the style of Banksy
geoffrey_hinton.png,a painting of a man in the style of Vincent Van Gogh
geoffrey_hinton.png,a colorful graffiti painting of a man
geoffrey_hinton.png,a watercolor painting of a man
geoffrey_hinton.png,a Greek marble sculpture of a man
geoffrey_hinton.png,a street art mural of a man
geoffrey_hinton.png,a black and white photograph of a man
geoffrey_hinton.png,a pointillism painting of a man
geoffrey_hinton.png,a Japanese woodblock print of a man
geoffrey_hinton.png,a street art stencil of a man
geoffrey_hinton.png,a man img riding a horse
geoffrey_hinton.png,a man img holding a glass of wine
geoffrey_hinton.png,a man img holding a piece of cake
geoffrey_hinton.png,a man img giving a lecture
geoffrey_hinton.png,a man img reading a book
geoffrey_hinton.png,a man img gardening in the backyard
geoffrey_hinton.png,a man img cooking a meal
geoffrey_hinton.png,a man img working out at the gym
geoffrey_hinton.png,a man img walking the dog
geoffrey_hinton.png,a man img baking cookies
geoffrey_hinton.png,a man img wearing a doctoral cap
geoffrey_hinton.png,a man img wearing a spacesuit
geoffrey_hinton.png,a man img wearing sunglasses and necklace
geoffrey_hinton.png,a man coding in front of a computer
geoffrey_hinton.png,a man in a helmet and vest riding a motorcycle
geoffrey_hinton.png,a man in the jungle
geoffrey_hinton.png,a man in the snow
geoffrey_hinton.png,a man on the beach
geoffrey_hinton.png,a man on a cobblestone street
geoffrey_hinton.png,a man on top of pink fabric
geoffrey_hinton.png,a man on top of a wooden floor
geoffrey_hinton.png,a man with a city in the background
geoffrey_hinton.png,a man with a mountain in the background
geoffrey_hinton.png,a man with a blue house in the background
geoffrey_hinton.png,a man on top of a purple rug in a forest
joe_biden.png,a man wearing a red hat
joe_biden.png,a man wearing a santa hat
joe_biden.png,a man wearing a rainbow scarf
joe_biden.png,a man wearing a black top hat and a monocle
joe_biden.png,a man in a chef outfit
joe_biden.png,a man in a firefighter outfit
joe_biden.png,a man in a police outfit
joe_biden.png,a man wearing pink glasses
joe_biden.png,a man wearing a yellow shirt
joe_biden.png,a man in a purple wizard outfit
joe_biden.png,a painting of a man in the style of Banksy
joe_biden.png,a painting of a man in the style of Vincent Van Gogh
joe_biden.png,a colorful graffiti painting of a man
joe_biden.png,a watercolor painting of a man
joe_biden.png,a Greek marble sculpture of a man
joe_biden.png,a street art mural of a man
joe_biden.png,a black and white photograph of a man
joe_biden.png,a pointillism painting of a man
joe_biden.png,a Japanese woodblock print of a man
joe_biden.png,a street art stencil of a man
joe_biden.png,a man img riding a horse
joe_biden.png,a man img holding a glass of wine
joe_biden.png,a man img holding a piece of cake
joe_biden.png,a man img giving a lecture
joe_biden.png,a man img reading a book
joe_biden.png,a man img gardening in the backyard
joe_biden.png,a man img cooking a meal
joe_biden.png,a man img working out at the gym
joe_biden.png,a man img walking the dog
joe_biden.png,a man img baking cookies
joe_biden.png,a man img wearing a doctoral cap
joe_biden.png,a man img wearing a spacesuit
joe_biden.png,a man img wearing sunglasses and necklace
joe_biden.png,a man coding in front of a computer
joe_biden.png,a man in a helmet and vest riding a motorcycle
joe_biden.png,a man in the jungle
joe_biden.png,a man in the snow
joe_biden.png,a man on the beach
joe_biden.png,a man on a cobblestone street
joe_biden.png,a man on top of pink fabric
joe_biden.png,a man on top of a wooden floor
joe_biden.png,a man with a city in the background
joe_biden.png,a man with a mountain in the background
joe_biden.png,a man with a blue house in the background
joe_biden.png,a man on top of a purple rug in a forest
kamala_harris.png,a woman wearing a red hat
kamala_harris.png,a woman wearing a santa hat
kamala_harris.png,a woman wearing a rainbow scarf
kamala_harris.png,a woman wearing a black top hat and a monocle
kamala_harris.png,a woman in a chef outfit
kamala_harris.png,a woman in a firefighter outfit
kamala_harris.png,a woman in a police outfit
kamala_harris.png,a woman wearing pink glasses
kamala_harris.png,a woman wearing a yellow shirt
kamala_harris.png,a woman in a purple wizard outfit
kamala_harris.png,a painting of a woman in the style of Banksy
kamala_harris.png,a painting of a woman in the style of Vincent Van Gogh
kamala_harris.png,a colorful graffiti painting of a woman
kamala_harris.png,a watercolor painting of a woman
kamala_harris.png,a Greek marble sculpture of a woman
kamala_harris.png,a street art mural of a woman
kamala_harris.png,a black and white photograph of a woman
kamala_harris.png,a pointillism painting of a woman
kamala_harris.png,a Japanese woodblock print of a woman
kamala_harris.png,a street art stencil of a woman
kamala_harris.png,a woman img riding a horse
kamala_harris.png,a woman img holding a glass of wine
kamala_harris.png,a woman img holding a piece of cake
kamala_harris.png,a woman img giving a lecture
kamala_harris.png,a woman img reading a book
kamala_harris.png,a woman img gardening in the backyard
kamala_harris.png,a woman img cooking a meal
kamala_harris.png,a woman img working out at the gym
kamala_harris.png,a woman img walking the dog
kamala_harris.png,a woman img baking cookies
kamala_harris.png,a woman img wearing a doctoral cap
kamala_harris.png,a woman img wearing a spacesuit
kamala_harris.png,a woman img wearing sunglasses and necklace
kamala_harris.png,a woman coding in front of a computer
kamala_harris.png,a woman in a helmet and vest riding a motorcycle
kamala_harris.png,a woman in the jungle
kamala_harris.png,a woman in the snow
kamala_harris.png,a woman on the beach
kamala_harris.png,a woman on a cobblestone street
kamala_harris.png,a woman on top of pink fabric
kamala_harris.png,a woman on top of a wooden floor
kamala_harris.png,a woman with a city in the background
kamala_harris.png,a woman with a mountain in the background
kamala_harris.png,a woman with a blue house in the background
kamala_harris.png,a woman on top of a purple rug in a forest
kaming_he.png,a man wearing a red hat
kaming_he.png,a man wearing a santa hat
kaming_he.png,a man wearing a rainbow scarf
kaming_he.png,a man wearing a black top hat and a monocle
kaming_he.png,a man in a chef outfit
kaming_he.png,a man in a firefighter outfit
kaming_he.png,a man in a police outfit
kaming_he.png,a man wearing pink glasses
kaming_he.png,a man wearing a yellow shirt
kaming_he.png,a man in a purple wizard outfit
kaming_he.png,a painting of a man in the style of Banksy
kaming_he.png,a painting of a man in the style of Vincent Van Gogh
kaming_he.png,a colorful graffiti painting of a man
kaming_he.png,a watercolor painting of a man
kaming_he.png,a Greek marble sculpture of a man
kaming_he.png,a street art mural of a man
kaming_he.png,a black and white photograph of a man
kaming_he.png,a pointillism painting of a man
kaming_he.png,a Japanese woodblock print of a man
kaming_he.png,a street art stencil of a man
kaming_he.png,a man img riding a horse
kaming_he.png,a man img holding a glass of wine
kaming_he.png,a man img holding a piece of cake
kaming_he.png,a man img giving a lecture
kaming_he.png,a man img reading a book
kaming_he.png,a man img gardening in the backyard
kaming_he.png,a man img cooking a meal
kaming_he.png,a man img working out at the gym
kaming_he.png,a man img walking the dog
kaming_he.png,a man img baking cookies
kaming_he.png,a man img wearing a doctoral cap
kaming_he.png,a man img wearing a spacesuit
kaming_he.png,a man img wearing sunglasses and necklace
kaming_he.png,a man coding in front of a computer
kaming_he.png,a man in a helmet and vest riding a motorcycle
kaming_he.png,a man in the jungle
kaming_he.png,a man in the snow
kaming_he.png,a man on the beach
kaming_he.png,a man on a cobblestone street
kaming_he.png,a man on top of pink fabric
kaming_he.png,a man on top of a wooden floor
kaming_he.png,a man with a city in the background
kaming_he.png,a man with a mountain in the background
kaming_he.png,a man with a blue house in the background
kaming_he.png,a man on top of a purple rug in a forest
lecun_yann.png,a man wearing a red hat
lecun_yann.png,a man wearing a santa hat
lecun_yann.png,a man wearing a rainbow scarf
lecun_yann.png,a man wearing a black top hat and a monocle
lecun_yann.png,a man in a chef outfit
lecun_yann.png,a man in a firefighter outfit
lecun_yann.png,a man in a police outfit
lecun_yann.png,a man wearing pink glasses
lecun_yann.png,a man wearing a yellow shirt
lecun_yann.png,a man in a purple wizard outfit
lecun_yann.png,a painting of a man in the style of Banksy
lecun_yann.png,a painting of a man in the style of Vincent Van Gogh
lecun_yann.png,a colorful graffiti painting of a man
lecun_yann.png,a watercolor painting of a man
lecun_yann.png,a Greek marble sculpture of a man
lecun_yann.png,a street art mural of a man
lecun_yann.png,a black and white photograph of a man
lecun_yann.png,a pointillism painting of a man
lecun_yann.png,a Japanese woodblock print of a man
lecun_yann.png,a street art stencil of a man
lecun_yann.png,a man img riding a horse
lecun_yann.png,a man img holding a glass of wine
lecun_yann.png,a man img holding a piece of cake
lecun_yann.png,a man img giving a lecture
lecun_yann.png,a man img reading a book
lecun_yann.png,a man img gardening in the backyard
lecun_yann.png,a man img cooking a meal
lecun_yann.png,a man img working out at the gym
lecun_yann.png,a man img walking the dog
lecun_yann.png,a man img baking cookies
lecun_yann.png,a man img wearing a doctoral cap
lecun_yann.png,a man img wearing a spacesuit
lecun_yann.png,a man img wearing sunglasses and necklace
lecun_yann.png,a man coding in front of a computer
lecun_yann.png,a man in a helmet and vest riding a motorcycle
lecun_yann.png,a man in the jungle
lecun_yann.png,a man in the snow
lecun_yann.png,a man on the beach
lecun_yann.png,a man on a cobblestone street
lecun_yann.png,a man on top of pink fabric
lecun_yann.png,a man on top of a wooden floor
lecun_yann.png,a man with a city in the background
lecun_yann.png,a man with a mountain in the background
lecun_yann.png,a man with a blue house in the background
lecun_yann.png,a man on top of a purple rug in a forest
michelle_obama.png,a woman wearing a red hat
michelle_obama.png,a woman wearing a santa hat
michelle_obama.png,a woman wearing a rainbow scarf
michelle_obama.png,a woman wearing a black top hat and a monocle
michelle_obama.png,a woman in a chef outfit
michelle_obama.png,a woman in a firefighter outfit
michelle_obama.png,a woman in a police outfit
michelle_obama.png,a woman wearing pink glasses
michelle_obama.png,a woman wearing a yellow shirt
michelle_obama.png,a woman in a purple wizard outfit
michelle_obama.png,a painting of a woman in the style of Banksy
michelle_obama.png,a painting of a woman in the style of Vincent Van Gogh
michelle_obama.png,a colorful graffiti painting of a woman
michelle_obama.png,a watercolor painting of a woman
michelle_obama.png,a Greek marble sculpture of a woman
michelle_obama.png,a street art mural of a woman
michelle_obama.png,a black and white photograph of a woman
michelle_obama.png,a pointillism painting of a woman
michelle_obama.png,a Japanese woodblock print of a woman
michelle_obama.png,a street art stencil of a woman
michelle_obama.png,a woman img riding a horse
michelle_obama.png,a woman img holding a glass of wine
michelle_obama.png,a woman img holding a piece of cake
michelle_obama.png,a woman img giving a lecture
michelle_obama.png,a woman img reading a book
michelle_obama.png,a woman img gardening in the backyard
michelle_obama.png,a woman img cooking a meal
michelle_obama.png,a woman img working out at the gym
michelle_obama.png,a woman img walking the dog
michelle_obama.png,a woman img baking cookies
michelle_obama.png,a woman img wearing a doctoral cap
michelle_obama.png,a woman img wearing a spacesuit
michelle_obama.png,a woman img wearing sunglasses and necklace
michelle_obama.png,a woman coding in front of a computer
michelle_obama.png,a woman in a helmet and vest riding a motorcycle
michelle_obama.png,a woman in the jungle
michelle_obama.png,a woman in the snow
michelle_obama.png,a woman on the beach
michelle_obama.png,a woman on a cobblestone street
michelle_obama.png,a woman on top of pink fabric
michelle_obama.png,a woman on top of a wooden floor
michelle_obama.png,a woman with a city in the background
michelle_obama.png,a woman with a mountain in the background
michelle_obama.png,a woman with a blue house in the background
michelle_obama.png,a woman on top of a purple rug in a forest
sam_altman.png,a man wearing a red hat
sam_altman.png,a man wearing a santa hat
sam_altman.png,a man wearing a rainbow scarf
sam_altman.png,a man wearing a black top hat and a monocle
sam_altman.png,a man in a chef outfit
sam_altman.png,a man in a firefighter outfit
sam_altman.png,a man in a police outfit
sam_altman.png,a man wearing pink glasses
sam_altman.png,a man wearing a yellow shirt
sam_altman.png,a man in a purple wizard outfit
sam_altman.png,a painting of a man in the style of Banksy
sam_altman.png,a painting of a man in the style of Vincent Van Gogh
sam_altman.png,a colorful graffiti painting of a man
sam_altman.png,a watercolor painting of a man
sam_altman.png,a Greek marble sculpture of a man
sam_altman.png,a street art mural of a man
sam_altman.png,a black and white photograph of a man
sam_altman.png,a pointillism painting of a man
sam_altman.png,a Japanese woodblock print of a man
sam_altman.png,a street art stencil of a man
sam_altman.png,a man img riding a horse
sam_altman.png,a man img holding a glass of wine
sam_altman.png,a man img holding a piece of cake
sam_altman.png,a man img giving a lecture
sam_altman.png,a man img reading a book
sam_altman.png,a man img gardening in the backyard
sam_altman.png,a man img cooking a meal
sam_altman.png,a man img working out at the gym
sam_altman.png,a man img walking the dog
sam_altman.png,a man img baking cookies
sam_altman.png,a man img wearing a doctoral cap
sam_altman.png,a man img wearing a spacesuit
sam_altman.png,a man img wearing sunglasses and necklace
sam_altman.png,a man coding in front of a computer
sam_altman.png,a man in a helmet and vest riding a motorcycle
sam_altman.png,a man in the jungle
sam_altman.png,a man in the snow
sam_altman.png,a man on the beach
sam_altman.png,a man on a cobblestone street
sam_altman.png,a man on top of pink fabric
sam_altman.png,a man on top of a wooden floor
sam_altman.png,a man with a city in the background
sam_altman.png,a man with a mountain in the background
sam_altman.png,a man with a blue house in the background
sam_altman.png,a man on top of a purple rug in a forest
scarlett_johansson.png,a woman wearing a red hat
scarlett_johansson.png,a woman wearing a santa hat
scarlett_johansson.png,a woman wearing a rainbow scarf
scarlett_johansson.png,a woman wearing a black top hat and a monocle
scarlett_johansson.png,a woman in a chef outfit
scarlett_johansson.png,a woman in a firefighter outfit
scarlett_johansson.png,a woman in a police outfit
scarlett_johansson.png,a woman wearing pink glasses
scarlett_johansson.png,a woman wearing a yellow shirt
scarlett_johansson.png,a woman in a purple wizard outfit
scarlett_johansson.png,a painting of a woman in the style of Banksy
scarlett_johansson.png,a painting of a woman in the style of Vincent Van Gogh
scarlett_johansson.png,a colorful graffiti painting of a woman
scarlett_johansson.png,a watercolor painting of a woman
scarlett_johansson.png,a Greek marble sculpture of a woman
scarlett_johansson.png,a street art mural of a woman
scarlett_johansson.png,a black and white photograph of a woman
scarlett_johansson.png,a pointillism painting of a woman
scarlett_johansson.png,a Japanese woodblock print of a woman
scarlett_johansson.png,a street art stencil of a woman
scarlett_johansson.png,a woman img riding a horse
scarlett_johansson.png,a woman img holding a glass of wine
scarlett_johansson.png,a woman img holding a piece of cake
scarlett_johansson.png,a woman img giving a lecture
scarlett_johansson.png,a woman img reading a book
scarlett_johansson.png,a woman img gardening in the backyard
scarlett_johansson.png,a woman img cooking a meal
scarlett_johansson.png,a woman img working out at the gym
scarlett_johansson.png,a woman img walking the dog
scarlett_johansson.png,a woman img baking cookies
scarlett_johansson.png,a woman img wearing a doctoral cap
scarlett_johansson.png,a woman img wearing a spacesuit
scarlett_johansson.png,a woman img wearing sunglasses and necklace
scarlett_johansson.png,a woman coding in front of a computer
scarlett_johansson.png,a woman in a helmet and vest riding a motorcycle
scarlett_johansson.png,a woman in the jungle
scarlett_johansson.png,a woman in the snow
scarlett_johansson.png,a woman on the beach
scarlett_johansson.png,a woman on a cobblestone street
scarlett_johansson.png,a woman on top of pink fabric
scarlett_johansson.png,a woman on top of a wooden floor
scarlett_johansson.png,a woman with a city in the background
scarlett_johansson.png,a woman with a mountain in the background
scarlett_johansson.png,a woman with a blue house in the background
scarlett_johansson.png,a woman on top of a purple rug in a forest
taylor_swift.png,a woman wearing a red hat
taylor_swift.png,a woman wearing a santa hat
taylor_swift.png,a woman wearing a rainbow scarf
taylor_swift.png,a woman wearing a black top hat and a monocle
taylor_swift.png,a woman in a chef outfit
taylor_swift.png,a woman in a firefighter outfit
taylor_swift.png,a woman in a police outfit
taylor_swift.png,a woman wearing pink glasses
taylor_swift.png,a woman wearing a yellow shirt
taylor_swift.png,a woman in a purple wizard outfit
taylor_swift.png,a painting of a woman in the style of Banksy
taylor_swift.png,a painting of a woman in the style of Vincent Van Gogh
taylor_swift.png,a colorful graffiti painting of a woman
taylor_swift.png,a watercolor painting of a woman
taylor_swift.png,a Greek marble sculpture of a woman
taylor_swift.png,a street art mural of a woman
taylor_swift.png,a black and white photograph of a woman
taylor_swift.png,a pointillism painting of a woman
taylor_swift.png,a Japanese woodblock print of a woman
taylor_swift.png,a street art stencil of a woman
taylor_swift.png,a woman img riding a horse
taylor_swift.png,a woman img holding a glass of wine
taylor_swift.png,a woman img holding a piece of cake
taylor_swift.png,a woman img giving a lecture
taylor_swift.png,a woman img reading a book
taylor_swift.png,a woman img gardening in the backyard
taylor_swift.png,a woman img cooking a meal
taylor_swift.png,a woman img working out at the gym
taylor_swift.png,a woman img walking the dog
taylor_swift.png,a woman img baking cookies
taylor_swift.png,a woman img wearing a doctoral cap
taylor_swift.png,a woman img wearing a spacesuit
taylor_swift.png,a woman img wearing sunglasses and necklace
